period,reporterDesc,flowDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue
2014,Honduras,Import,kg,212,false,212,false,,false,650,,650
2014,"China, Hong Kong SAR",Import,kg,156775,false,156775,false,,false,1187544,,1187544
2014,"China, Hong Kong SAR",Export,kg,193804,false,193804,false,,false,,1610963,1610963
2014,Hungary,Import,kg,1753847,false,1753847,false,,false,7385456,,7385456
2014,Hungary,Export,kg,4303391,false,4303391,false,,false,,5760726,5760726
2014,Iceland,Import,kg,146605,false,146605,false,,false,976283,,976283
2014,Iceland,Export,kg,643173,false,643173,false,,false,,2068172,2068172
2014,Indonesia,Import,kg,353372,false,353372,false,,false,1761025,,1761025
2014,Indonesia,Export,kg,4255,false,4255,false,,false,,7050,7050
2014,Iran,Import,kg,2822008,false,2822008,false,,false,23433088.75,,23433088.75
2014,Iran,Export,kg,2922722,false,2922722,false,,false,,7934934.15,7934934.15
2014,Ireland,Import,kg,3824585,false,3824585,false,0,false,9384014277,0,9384014277
2014,Ireland,Export,kg,6558862,false,6558862,false,0,false,0,15629982985,15629982985
2014,Israel,Export,kg,466712,false,466712,false,,false,,455000,455000
2014,Italy,Import,kg,33140805,false,33140805,false,,false,237509733,,237509733
2014,Italy,Export,kg,10338127,false,10338127,false,,false,,19593695,19593695
2014,Japan,Import,kg,6276623,false,6276623,false,,false,37865199,,37865199
2014,Japan,Export,kg,17719,false,17719,false,,false,,82947,82947
2014,Kazakhstan,Import,kg,48727,false,48727,false,,false,44344,,44344
2014,Kazakhstan,Export,kg,5989464,false,5989464,false,,false,,5375203,5375203
2014,Jordan,Export,kg,391520,false,391520,false,,false,,390310,390310
2014,Rep. of Korea,Import,kg,8238802675,true,8238802675,true,0,false,72275240,,72275240
2014,Rep. of Korea,Export,kg,2870206,true,2870206,true,0,false,,7563,7563
2014,Kuwait,Import,kg,428685,false,428685,false,,false,433546,,433546
2014,Kuwait,Export,kg,593258,false,593258,false,,false,,203936,203936
2014,Kyrgyzstan,Import,kg,287848,false,287848,false,,false,86499,,86499
2014,Kyrgyzstan,Export,kg,726890,false,726890,false,,false,,484396,484396
2014,Lao People's Dem. Rep.,Import,kg,1247,true,1247,true,,false,3148,,3148
2014,Lebanon,Import,kg,1,false,1,false,,false,38,,38
2014,Lebanon,Export,kg,313838,false,313838,false,,false,,340038,340038
2014,Lesotho,Import,N/A,0,false,,false,0,false,3063301961,,3063301961
2014,Lesotho,Export,kg,9943013512,true,9943013512,true,0,false,,22946665312,22946665312
2014,Latvia,Import,kg,553725,false,553725,false,,false,3256328785,,3256328785
2014,Latvia,Export,kg,113939,false,113939,false,,false,,895045473,895045473
2014,Lithuania,Import,kg,7917122,false,7917122,false,,false,35495864,,35495864
2014,Lithuania,Export,kg,80134,false,80134,false,,false,,552975,552975
2014,Luxembourg,Import,kg,914,false,914,false,,false,30570,,30570
2014,Luxembourg,Export,kg,8646,false,8646,false,,false,,13597,13597
2014,Malawi,Import,kg,854,false,854,false,0,false,7226926,,7226926
2014,Malaysia,Import,kg,6938753,false,6938753,false,,false,66547146,,66547146
2014,Malaysia,Export,kg,233253,false,233253,false,,false,,1657271,1657271
2014,Mauritius,Import,kg,571141,false,571141,false,,false,4783182,,4783182
2014,Mexico,Import,kg,423524,false,423524,false,0,false,,2384101,2384101
2014,Mexico,Export,N/A,0,true,0,true,0,false,,192344,192344
2014,"Other Asia, nes",Import,kg,3916956,false,3916956,false,,false,27279938,,27279938
2014,"Other Asia, nes",Export,kg,7431,false,7431,false,,false,,68033,68033
2014,Mongolia,Export,kg,7351257,false,7351257,false,,false,,9577767,9577767
2014,Rep. of Moldova,Import,kg,973165,false,973165,false,,false,3219141,,3219141
2014,Rep. of Moldova,Export,kg,772150,false,772150,false,,false,,751691,751691
2014,Montenegro,Export,kg,103720,false,103720,false,,false,,58289,58289
2014,Morocco,Import,kg,355160,false,355160,false,,false,1897375,,1897375
2014,Morocco,Export,kg,5176145,false,5176145,false,,false,,5538444,5538444
2014,Mozambique,Import,kg,946,false,946,false,,false,7500,,7500
2014,Oman,Import,kg,100,false,100,false,0,false,897269,,897269
2014,Namibia,Import,kg,4570,false,4570,false,,false,46456,,46456
2014,Namibia,Export,kg,58055,false,58055,false,,false,,13582,13582
2014,Nepal,Import,kg,4030175,true,4030175,true,,false,15048126,,15048126
2014,Nepal,Export,kg,180,false,180,false,,false,,217,217
2014,Netherlands,Import,kg,3204534,false,3204534,false,0,false,4701178411,,4701178411
